hex,accommodation,sports,public,company,healthcare,residense,government,life,technology,shop,finance,landscape,dining
873091918ffffff,0.210526316,0.578947368,3,2.105263158,0.368421053,0.263157895,2.210526316,0.473684211,0.263157895,0.157894737,0,0.105263158,1.526315789
87309191affffff,0.210526316,0.578947368,2.421052632,2.368421053,0.368421053,0.263157895,2.210526316,0.473684211,0.263157895,0.157894737,0,0.157894737,1.526315789
87309191cffffff,0.684210526,0.789473684,3.578947368,2.842105263,1.157894737,0.526315789,3.473684211,3.052631579,0.894736842,0.421052632,0.526315789,0.526315789,4.157894737
87309191dffffff,0.052631579,0.315789474,2.947368421,1.157894737,0.368421053,0.157894737,1.105263158,0.368421053,0.263157895,0.157894737,0,0.105263158,1.105263158
87309191effffff,0.684210526,0.947368421,3.210526316,3.052631579,1.157894737,0.578947368,3.210526316,3.052631579,0.789473684,0.368421053,0.526315789,0.473684211,4.263157895
873091928ffffff,0.052631579,0.210526316,2.315789474,0.947368421,0.210526316,0.052631579,1,0.210526316,0.315789474,0.210526316,0.052631579,0.210526316,0.526315789
873091929ffffff,0.052631579,0.157894737,1.736842105,0.894736842,0.105263158,0.052631579,0.789473684,0.105263158,0.263157895,0.157894737,0.052631579,0.157894737,0.421052632
87309192affffff,0.052631579,0.157894737,3,1.052631579,0.210526316,0.052631579,1.157894737,0.210526316,0.315789474,0.210526316,0.052631579,0.263157895,0.526315789
87309192bffffff,0.052631579,0.210526316,2.210526316,1.315789474,0.210526316,0.105263158,1.157894737,0.210526316,0.473684211,0.210526316,0.105263158,0.263157895,0.526315789
87309192dffffff,0.052631579,0.052631579,1.263157895,0.631578947,0.052631579,0,0.473684211,0.105263158,0.105263158,0.157894737,0.052631579,0.157894737,0.157894737
873091930ffffff,0.105263158,0.263157895,2.263157895,0.789473684,0.473684211,0.157894737,0.789473684,0.052631579,0.368421053,0.105263158,0,0.684210526,0.421052632
873091931ffffff,0.052631579,0.157894737,2.789473684,0.684210526,0.421052632,0.210526316,0.736842105,0.052631579,0.368421053,0.105263158,0,0.421052632,0.368421053
873091932ffffff,0.578947368,0.526315789,1.842105263,1.526315789,1.263157895,0.421052632,1.736842105,2.578947368,0.894736842,0.315789474,0.526315789,1.105263158,3.052631579
873091933ffffff,0.631578947,0.631578947,2.684210526,2,1.473684211,0.526315789,2,2.842105263,0.894736842,0.315789474,0.526315789,1.157894737,3.684210526
873091934ffffff,0.052631579,0.157894737,1.052631579,0.421052632,0.315789474,0.052631579,0.578947368,0.052631579,0.105263158,0.105263158,0,0.263157895,0.263157895
873091935ffffff,0.052631579,0.105263158,2.263157895,0.368421053,0.263157895,0.105263158,0.473684211,0.052631579,0.105263158,0.105263158,0,0.315789474,0.263157895
873091936ffffff,0.105263158,0.368421053,1,0.578947368,0.421052632,0.157894737,0.631578947,0.052631579,0.368421053,0.105263158,0,0.736842105,0.421052632
873091942ffffff,0.052631579,0.157894737,2.526315789,1.263157895,0.578947368,0.105263158,1.578947368,1.736842105,0.684210526,0.315789474,0.368421053,0.210526316,1.210526316
873091943ffffff,0.105263158,0.157894737,2.736842105,1.157894737,0.684210526,0.421052632,1.631578947,1.578947368,0.894736842,0.210526316,0.315789474,0.368421053,1.105263158
873091946ffffff,0.052631579,0.105263158,1.789473684,1.315789474,0.578947368,0.157894737,1.368421053,1.736842105,0.631578947,0.263157895,0.368421053,0.157894737,1.210526316
873091948ffffff,0.157894737,0.263157895,1.684210526,1.894736842,0.842105263,0.368421053,2,1.789473684,0.947368421,0.157894737,0.263157895,0.263157895,1.157894737
873091949ffffff,0.052631579,0.210526316,1.157894737,1.421052632,0.315789474,0,0.631578947,0.315789474,0.210526316,0.052631579,0,0.105263158,0.263157895
87309194affffff,0.157894737,0.263157895,2.421052632,2.052631579,0.842105263,0.368421053,2,1.789473684,0.947368421,0.210526316,0.263157895,0.315789474,1.157894737
87309194bffffff,0.210526316,0.368421053,2.105263158,1.894736842,0.894736842,0.473684211,2.105263158,1.789473684,0.947368421,0.157894737,0.263157895,0.263157895,1.315789474
87309194dffffff,0.052631579,0.105263158,0.842105263,1.157894737,0.315789474,0,0.526315789,0.315789474,0.157894737,0.052631579,0,0.105263158,0.157894737
87309194effffff,0.105263158,0.263157895,2.105263158,1.842105263,0.894736842,0.421052632,2.052631579,1.631578947,0.842105263,0.210526316,0.315789474,0.263157895,1.263157895
873091950ffffff,0.105263158,0.315789474,2.684210526,2.368421053,0.789473684,0.473684211,1.894736842,2.105263158,1.052631579,0.368421053,0.421052632,0.263157895,1.947368421
873091951ffffff,0.105263158,0.315789474,2.842105263,2.473684211,0.789473684,0.315789474,2.105263158,2.210526316,1.052631579,0.421052632,0.421052632,0.315789474,1.894736842
873091952ffffff,0.105263158,0.368421053,2.526315789,2.210526316,0.789473684,0.421052632,1.842105263,2.157894737,1.052631579,0.368421053,0.473684211,0.315789474,1.947368421
873091953ffffff,0.105263158,0.315789474,2.368421053,2.052631579,0.789473684,0.368421053,1.789473684,2.105263158,1.052631579,0.421052632,0.368421053,0.421052632,1.947368421
873091954ffffff,0.157894737,0.315789474,3.105263158,2.894736842,0.789473684,0.368421053,2.263157895,2.210526316,1.210526316,0.421052632,0.473684211,0.368421053,2
873091955ffffff,0.105263158,0.263157895,2.526315789,2.578947368,0.789473684,0.421052632,2.052631579,2.210526316,1.157894737,0.368421053,0.473684211,0.263157895,1.842105263
873091956ffffff,0.105263158,0.421052632,2.947368421,2.473684211,0.842105263,0.473684211,1.894736842,2.105263158,1.105263158,0.368421053,0.421052632,0.263157895,2.105263158
873091958ffffff,0.105263158,0.263157895,3.263157895,1.105263158,0.526315789,0.368421053,1.736842105,1.473684211,1,0.157894737,0.263157895,0.315789474,1
873091959ffffff,0.105263158,0.210526316,3.052631579,1.789473684,0.789473684,0.368421053,2.157894737,1.526315789,0.947368421,0.157894737,0.263157895,0.315789474,1.368421053
87309195affffff,0.105263158,0.263157895,3.210526316,1,0.526315789,0.368421053,1.526315789,1.473684211,0.947368421,0.157894737,0.263157895,0.368421053,1.052631579
87309195bffffff,0.105263158,0.315789474,3.157894737,1.263157895,0.578947368,0.368421053,2,1.473684211,0.947368421,0.157894737,0.263157895,0.421052632,1.263157895
87309195cffffff,0.105263158,0.263157895,3.052631579,1.157894737,0.684210526,0.421052632,1.842105263,1.578947368,1.052631579,0.210526316,0.315789474,0.421052632,1.105263158
87309195dffffff,0.105263158,0.263157895,2.894736842,1.947368421,0.894736842,0.421052632,2.105263158,1.631578947,0.894736842,0.210526316,0.315789474,0.315789474,1.263157895
87309195effffff,0.105263158,0.210526316,3.105263158,1.157894737,0.578947368,0.368421053,1.842105263,1.473684211,1.052631579,0.157894737,0.263157895,0.473684211,1.052631579
873091970ffffff,0.105263158,0.210526316,2.052631579,1.473684211,0.578947368,0.157894737,1.473684211,1.736842105,0.736842105,0.315789474,0.421052632,0.315789474,1.368421053
873091971ffffff,0.105263158,0.157894737,1.684210526,1.631578947,0.631578947,0.157894737,1.473684211,1.842105263,0.684210526,0.368421053,0.421052632,0.315789474,1.315789474
873091972ffffff,0.157894737,0.315789474,2.473684211,2.684210526,0.789473684,0.368421053,2.263157895,2.210526316,1.052631579,0.421052632,0.473684211,0.368421053,2.105263158
873091973ffffff,0.157894737,0.368421053,2.315789474,2.736842105,0.894736842,0.421052632,2.157894737,2.315789474,1.105263158,0.473684211,0.526315789,0.421052632,2.105263158
873091974ffffff,0.052631579,0.157894737,1.263157895,0.894736842,0.105263158,0.052631579,0.526315789,0.105263158,0.263157895,0.105263158,0.052631579,0.157894737,0.263157895
873091975ffffff,0.052631579,0.052631579,1.157894737,0.894736842,0.052631579,0.052631579,0.526315789,0.105263158,0.210526316,0.105263158,0.052631579,0.157894737,0.105263158
873091976ffffff,0.105263158,0.210526316,2.263157895,1.578947368,0.526315789,0.157894737,1.684210526,1.736842105,0.684210526,0.315789474,0.421052632,0.210526316,1.526315789
873091988ffffff,0.157894737,0.526315789,0.631578947,3.052631579,0.947368421,0.736842105,3.105263158,1.789473684,1.157894737,0.052631579,0.421052632,0.368421053,2.315789474
873091989ffffff,0.157894737,0.526315789,0.684210526,3.157894737,0.947368421,0.684210526,3.105263158,1.789473684,1.210526316,0.105263158,0.421052632,0.315789474,2.315789474
87309198affffff,0.157894737,0.526315789,0.684210526,3.105263158,0.947368421,0.736842105,3.210526316,1.789473684,1.157894737,0.052631579,0.421052632,0.315789474,2.315789474
87309198bffffff,0.210526316,0.578947368,0.736842105,4.157894737,1.052631579,0.789473684,3.368421053,2.052631579,1.315789474,0.157894737,0.473684211,0.315789474,2.631578947
87309198effffff,0.157894737,0.421052632,0.526315789,1.578947368,0.947368421,0.526315789,2.578947368,1.578947368,1.052631579,0.052631579,0.368421053,0.210526316,2.105263158
873091998ffffff,0.157894737,0.315789474,0.473684211,1.052631579,0.631578947,0.473684211,2.105263158,1.263157895,0.842105263,0.052631579,0.368421053,0.105263158,1.789473684
873091999ffffff,0.157894737,0.473684211,0.789473684,2.894736842,0.684210526,0.736842105,2.894736842,1.526315789,0.947368421,0.052631579,0.421052632,0.315789474,2.052631579
87309199bffffff,0.157894737,0.421052632,0.789473684,1.315789474,0.684210526,0.473684211,2.368421053,1.315789474,0.842105263,0.052631579,0.368421053,0.105263158,1.789473684
87309199dffffff,0.157894737,0.315789474,0.473684211,1.210526316,0.684210526,0.473684211,2.368421053,1.263157895,0.842105263,0.052631579,0.368421053,0.157894737,1.842105263
8730919a0ffffff,0.052631579,0.315789474,0.473684211,0.894736842,0.315789474,0.210526316,0.210526316,0.052631579,0.368421053,0.157894737,0,0,0.210526316
8730919a1ffffff,0.684210526,0.736842105,0.894736842,2.578947368,1.052631579,0.578947368,2.736842105,2.736842105,1,0.421052632,0.526315789,0.421052632,3.368421053
8730919a2ffffff,0.052631579,0.210526316,0.315789474,0.315789474,0.157894737,0.157894737,0.157894737,0,0.368421053,0.157894737,0,0,0.105263158
8730919a3ffffff,0.052631579,0.263157895,0.473684211,0.684210526,0.210526316,0.210526316,0.157894737,0.052631579,0.368421053,0.157894737,0,0,0.210526316
8730919a4ffffff,0.105263158,0.368421053,0.473684211,0.736842105,0.315789474,0.210526316,0.210526316,0.052631579,0.368421053,0.157894737,0,0.263157895,0.263157895
8730919a5ffffff,0.736842105,0.842105263,0.894736842,2.578947368,1.105263158,0.684210526,2.684210526,2.736842105,1.263157895,0.421052632,0.526315789,0.789473684,3.315789474
8730919a6ffffff,0.052631579,0.210526316,0.315789474,0.421052632,0.157894737,0.157894737,0.157894737,0,0.368421053,0.157894737,0,0,0.105263158
8730919a8ffffff,0.157894737,0.578947368,0.947368421,2.052631579,0.473684211,0.210526316,2.368421053,0.578947368,0.315789474,0.105263158,0,0.052631579,1.210526316
8730919a9ffffff,0.157894737,0.631578947,1.105263158,2.052631579,0.421052632,0.157894737,2.526315789,0.526315789,0.315789474,0.105263158,0,0.105263158,1.105263158
8730919acffffff,0.684210526,0.789473684,1.473684211,2.947368421,1.315789474,0.631578947,3.210526316,3.052631579,0.789473684,0.315789474,0.526315789,0.526315789,4.210526316
8730919adffffff,0.684210526,0.894736842,2.052631579,2.789473684,1.105263158,0.526315789,3.105263158,3.052631579,0.736842105,0.368421053,0.526315789,0.526315789,4.263157895
8730919aeffffff,0.157894737,0.368421053,0.947368421,1.736842105,0.315789474,0.263157895,1.894736842,0.263157895,0.263157895,0.052631579,0,0.052631579,0.736842105
8730919b5ffffff,0.052631579,0.210526316,0.157894737,0.263157895,0.052631579,0.052631579,0.052631579,0,0.263157895,0.157894737,0,0,0.105263158
873091a80ffffff,0.157894737,0.526315789,1,9.421052632,0.421052632,0.315789474,1.157894737,0.631578947,0.263157895,0.315789474,0.157894737,0.052631579,1.210526316
873091a81ffffff,0.157894737,0.368421053,0.894736842,8.578947368,0.421052632,0.263157895,0.684210526,0.526315789,0.157894737,0.315789474,0.157894737,0.052631579,1.105263158
